SIZE,RES.,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_per_Faculty_Score,International_Faculty_Score,International_Students_Score,International_Research_Network_Score,Employment_Outcomes_Score,Sustainability_Score
M,VH,6.4,3.6,12.8,10.3,9.6,11.9,12.4,1.9,9.8
L,VH,45.0,24.6,12.8,38.8,100.0,37.6,79.5,59.1,96.0
M,VH,4.4,2.2,7.4,56.3,2.6,6.3,55.5,3.3,44.9
XL,VH,90.5,90.4,20.6,94.9,100.0,99.4,98.3,97.7,99.2
S,VH,13.6,13.5,87.9,98.1,29.3,9.6,24.8,3.3,16.1
L,VH,29.7,55.3,23.8,32.4,87.1,68.6,87.1,23.2,93.8
L,VH,45.5,17.2,40.4,62.4,100.0,97.6,94.2,49.5,42.3
L,HI,6.7,8.6,9.5,4.5,33.6,33.1,50.4,8.6,2.2
L,VH,8.1,7.3,8.6,15.1,74.0,85.3,75.4,8.9,21.1
M,VH,31.0,14.4,10.0,28.9,,1.3,47.4,14.7,19.7
M,MD,6.3,4.4,72.8,1.0,2.4,1.5,3.5,1.9,1.0
L,MD,5.6,2.2,4.0,1.9,1.5,5.2,34.5,6.2,2.3
M,VH,9.6,10.1,9.4,2.7,75.5,100.0,16.9,4.6,1.5
L,HI,22.6,52.4,10.0,4.5,1.9,2.5,22.2,47.4,2.7
S,VH,5.6,9.3,98.4,13.5,23.9,78.4,34.9,4.2,3.4
L,VH,3.8,2.0,30.3,2.8,,,35.2,1.3,1.0
M,VH,4.9,3.6,29.3,7.2,6.8,8.7,30.2,38.8,2.4
L,VH,63.2,65.8,84.7,25.4,14.5,19.6,64.8,21.5,75.0
M,HI,7.0,6.4,12.4,1.6,1.3,1.7,9.4,6.7,1.5
M,HI,8.5,4.8,17.8,1.2,6.8,3.1,3.9,3.3,1.0
XL,MD,5.9,1.8,5.4,2.4,1.6,1.3,21.4,1.6,1.1
L,VH,13.5,8.0,12.4,9.0,1.2,1.7,56.4,8.8,2.7
M,VH,28.7,72.1,35.7,79.3,100.0,82.7,70.8,24.2,29.8
XL,VH,36.6,19.7,4.2,65.1,2.2,1.1,92.5,7.3,20.1
L,VH,42.9,45.0,30.2,42.5,91.0,72.2,95.1,30.1,97.1
L,VH,23.1,43.1,25.1,27.9,71.0,59.6,82.3,8.3,91.8
L,HI,5.3,5.3,8.1,10.6,84.4,99.5,58.3,15.2,4.3
M,VH,8.3,71.6,38.3,2.2,18.7,5.0,9.0,85.4,7.1
L,VH,20.4,10.9,3.3,54.1,3.5,4.3,81.1,11.5,14.8
L,HI,6.4,2.3,15.2,37.9,7.2,19.0,77.5,1.8,31.6
S,VH,22.6,15.7,13.4,5.9,100.0,100.0,27.5,5.9,5.2
L,VH,6.8,3.8,30.3,7.0,2.9,3.3,63.4,9.5,1.4
L,HI,8.2,8.9,5.1,12.1,71.0,41.7,33.9,1.7,2.7
M,VH,10.4,7.7,9.2,12.7,87.4,16.7,48.5,9.2,6.4
L,VH,18.7,16.5,43.5,19.5,10.5,13.7,57.7,13.8,65.0
XL,VH,12.7,11.4,5.0,24.6,23.9,19.8,71.6,50.3,19.7
XL,VH,11.7,30.5,13.4,18.2,1.5,1.4,88.3,6.1,14.6
XL,VH,25.2,18.6,6.5,2.5,4.3,1.3,51.9,18.5,33.9
L,VH,9.7,5.4,15.2,31.8,4.7,9.6,29.1,9.6,1.2
XL,HI,9.6,2.5,12.8,3.6,6.3,1.2,52.2,10.9,13.1
XL,HI,19.2,42.4,11.5,1.4,13.7,1.4,19.6,13.1,9.0
M,VH,4.5,3.9,24.2,2.8,1.1,9.1,15.3,8.8,1.0
L,MD,5.5,2.5,76.8,1.3,,,13.9,1.3,1.0
M,VH,12.8,11.0,14.1,35.9,19.2,97.3,18.9,12.2,1.6
L,VH,35.4,18.3,60.9,33.6,90.0,78.2,94.2,63.1,92.8
XL,VH,41.5,7.2,3.2,33.3,4.1,5.3,87.5,51.7,83.6
L,HI,30.7,37.6,13.7,7.0,67.5,67.4,68.4,20.5,13.2
M,VH,33.9,50.4,12.5,73.8,85.5,90.4,71.6,19.1,11.3
L,VH,42.1,23.8,98.6,41.3,59.4,81.2,97.9,21.1,92.3
L,HI,3.6,9.1,6.7,3.0,,,25.5,8.7,1.3
S,VH,3.2,2.1,35.1,11.5,7.0,17.8,20.4,13.7,1.1
M,VH,26.3,50.4,50.5,77.4,100.0,63.1,77.0,31.7,87.0
M,VH,17.5,45.5,56.7,5.1,7.1,19.6,13.8,16.0,17.7
XL,VH,18.8,24.6,5.7,2.1,4.2,1.1,45.7,24.9,4.6
M,HI,9.7,7.7,84.6,1.1,10.0,18.8,2.4,5.8,1.2
M,VH,33.2,22.1,99.1,84.4,100.0,87.7,88.1,43.6,47.9
M,VH,5.5,5.6,8.7,9.0,12.2,11.7,12.4,2.0,2.4
XL,VH,53.8,79.2,55.7,2.1,88.3,7.1,37.2,77.3,32.7
L,VH,4.4,3.4,3.9,56.4,100.0,100.0,26.2,29.5,11.3
L,VH,28.4,18.8,36.8,61.0,100.0,54.2,79.8,51.8,51.2
L,VH,37.0,58.2,18.1,63.3,76.0,70.0,85.4,89.3,28.7
L,VH,6.9,8.9,28.6,3.7,2.0,2.7,40.6,3.2,7.1
XL,VH,46.7,42.3,62.9,32.1,17.8,10.3,98.3,44.5,60.6
M,VH,3.9,12.3,21.6,1.5,1.4,5.1,11.9,4.1,1.4
M,HI,5.3,1.4,99.7,1.2,1.1,1.2,17.4,21.8,1.0
L,HI,14.0,30.9,12.4,5.8,12.7,4.9,45.5,3.8,26.5
M,HI,6.6,2.5,8.8,1.9,8.4,6.1,12.5,3.3,1.0
M,VH,4.5,3.4,7.8,18.5,6.2,3.8,37.3,2.3,3.8
XL,VH,52.3,34.4,49.3,41.2,93.2,83.5,94.1,40.0,40.1
L,HI,4.7,6.2,4.9,9.5,6.8,4.4,44.3,5.8,4.5
L,HI,9.0,11.6,12.0,2.0,1.0,1.3,22.7,10.9,5.8
L,VH,80.3,56.9,5.0,71.7,62.4,43.7,93.1,32.8,31.3
L,VH,9.1,2.3,3.5,40.9,6.4,5.4,65.9,1.7,11.5
L,MD,8.1,3.6,11.3,1.2,,,10.1,20.9,1.0
XL,VH,59.5,48.6,11.4,50.3,54.5,12.4,97.5,57.1,96.3
L,VH,43.2,72.7,55.8,2.6,94.4,3.8,26.3,49.2,37.6
L,VH,11.7,3.3,8.7,1.4,13.5,1.7,8.6,2.3,1.0
L,VH,54.7,27.6,30.8,63.8,89.8,11.9,96.1,69.5,76.4
M,HI,6.1,3.2,5.1,1.6,3.3,1.1,5.0,2.3,1.0
L,VH,21.7,15.4,20.4,33.1,44.5,5.9,84.8,30.8,23.0
XL,VH,19.0,39.4,14.0,89.5,3.9,3.8,80.5,26.4,18.2
L,HI,6.7,2.0,17.8,1.7,,,27.2,2.9,1.2
XL,VH,65.6,33.3,4.6,2.9,34.3,46.5,70.3,74.8,23.7
XL,HI,7.7,4.9,3.0,2.6,1.1,2.5,67.7,3.7,5.3
M,VH,4.9,1.6,11.5,6.8,9.7,4.9,18.1,1.8,1.1
S,HI,7.7,19.9,89.1,1.7,95.4,92.9,7.0,4.4,1.1
XL,VH,12.1,6.6,20.0,97.8,10.7,4.6,51.3,27.3,7.3
L,VH,29.4,10.8,10.3,49.8,8.1,22.9,91.2,31.1,75.8
L,VH,7.0,5.1,5.7,15.8,10.8,10.3,44.2,3.9,3.1
M,VH,100.0,100.0,100.0,100.0,99.3,86.8,96.0,100.0,99.0
XL,VH,24.0,32.2,11.3,1.9,23.1,7.5,74.2,56.3,9.8
L,VH,22.6,10.4,15.5,56.8,99.6,84.9,84.7,39.9,97.7
L,VH,11.0,7.7,9.8,19.7,4.5,14.8,32.2,2.9,8.4
XL,VH,34.6,8.4,4.4,46.6,7.3,12.3,88.5,30.3,74.5
M,MD,7.0,7.9,5.7,1.0,3.4,1.2,1.0,3.3,1.1
M,VH,3.1,1.4,9.9,32.6,4.6,5.9,32.5,3.5,3.4
L,VH,51.5,74.0,33.4,20.3,16.3,13.9,58.7,42.4,83.8
L,HI,3.3,1.8,14.1,1.3,1.9,3.8,26.4,5.2,1.2
L,VH,12.7,12.4,7.5,19.4,63.7,85.6,73.0,1.3,72.3
